Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,bf,tw,tf,bf/2tf,h/tw,kdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1
W,W44X335,W44X335,F,335,98.5,44,15.9,1.03,1.77,4.5,38,2.56,31100,1620,1410,17.8,1200,236,150,3.49,74.7,535000,168,1180
W,W44X290,W44X290,F,290,85.4,43.6,15.8,0.865,1.58,5.02,45,2.36,27000,1410,1240,17.8,1040,205,132,3.49,50.9,461000,166,1040
W,W44X262,W44X262,F,262,77.2,43.3,15.8,0.785,1.42,5.57,49.6,2.2,24100,1270,1110,17.7,923,182,117,3.47,37.3,405000,165,928
W,W44X230,W44X230,F,230,67.8,42.9,15.8,0.71,1.22,6.45,54.8,2.01,20800,1100,971,17.5,796,157,101,3.43,24.9,346000,165,793
W,W40X655,W40X655,T,655,193,43.6,16.9,1.97,3.54,2.39,17.3,4.72,56500,3080,2590,17.1,2870,542,340,3.86,589,1150000,169,2530
W,W40X593,W40X593,T,593,174,43,16.7,1.79,3.23,2.58,19.1,4.41,50400,2760,2340,17,2520,481,302,3.8,445,997000,166,2240
W,W40X503,W40X503,T,503,148,42.1,16.4,1.54,2.76,2.98,22.3,3.94,41600,2320,1980,16.8,2040,394,249,3.72,277,789000,161,1830
W,W40X431,W40X431,T,431,127,41.3,16.2,1.34,2.36,3.44,25.5,3.54,34800,1960,1690,16.6,1690,328,208,3.65,177,638000,158,1510
W,W40X397,W40X397,T,397,117,41,16.1,1.22,2.2,3.66,28,3.38,32000,1800,1560,16.6,1540,300,191,3.64,142,579000,156,1380
W,W40X372,W40X372,T,372,110,40.6,16.1,1.16,2.05,3.93,29.5,3.23,29600,1680,1460,16.5,1420,277,177,3.6,116,528000,155,1280
W,W40X362,W40X362,T,362,106,40.6,16,1.12,2.01,3.99,30.5,3.19,28900,1640,1420,16.5,1380,270,173,3.6,109,513000,154,1240
W,W40X324,W40X324,F,324,95.3,40.2,15.9,1,1.81,4.4,34.2,2.99,25600,1460,1280,16.4,1220,239,153,3.58,79.4,448000,153,1100
